[[1, 0, 0], 0, 5, -0.4309125144129911]
[[1, 0, 0], 1, 5, -1.4047182866017167]
[[1, 0, 0], 2, 5, 0.2822309019701417]
[[1, 0, 0], 3, 5, 1.074733862835597]
[[1, 0, 0], 4, 5, -0.8079382508326131]
[[1, 0, 0], 0, 6, 0.24878750868407812]
[[1, 0, 0], 1, 6, 0.2822309019701418]
[[1, 0, 0], 2, 6, -1.0788262496665924]
[[1, 0, 0], 3, 6, 0.43305784035101585]
[[1, 0, 0], 4, 6, 1.0747339655821673]
[[1, 0, 0], 0, 7, -1.1537976076065988]
[[1, 0, 0], 1, 7, 1.4031054598372072]
[[1, 0, 0], 2, 7, -0.8100834858543222]
[[1, 0, 0], 3, 7, -0.16294601846756213]
[[1, 0, 0], 4, 7, 0.28223090197014183]
[[1, 0, 0], 0, 8, -0.4309125144129911]
[[1, 0, 0], 1, 8, 1.4047182866017167]
[[1, 0, 0], 2, 8, -0.2822309019701417]
[[1, 0, 0], 3, 8, 1.074733862835597]
[[1, 0, 0], 4, 8, -0.8079382508326131]
[[1, 0, 0], 0, 9, 0.24878750868407812]
[[1, 0, 0], 1, 9, -0.2822309019701418]
[[1, 0, 0], 2, 9, 1.0788262496665924]
[[1, 0, 0], 3, 9, 0.43305784035101585]
[[1, 0, 0], 4, 9, 1.0747339655821673]
[[1, 0, 0], 0, 10, 1.1537976076065988]
[[1, 0, 0], 1, 10, 1.4031054598372072]
[[1, 0, 0], 2, 10, -0.8100834858543222]
[[1, 0, 0], 3, 10, 0.16294601846756213]
[[1, 0, 0], 4, 10, -0.28223090197014183]
[[1, 0, 0], 0, 0, -0.5647500000000001]
[[1, 0, 0], 1, 0, 0.0]
[[1, 0, 0], 2, 0, 0.0]
[[1, 0, 0], 3, 0, 0.21260923662907968]
[[1, 0, 0], 4, 0, 0.0]
[[1, 0, 0], 0, 1, 0.0]
[[1, 0, 0], 1, 1, -0.478]
[[1, 0, 0], 2, 1, -0.0]
[[1, 0, 0], 3, 1, -0.0]
[[1, 0, 0], 4, 1, -0.0]
[[1, 0, 0], 0, 2, 0.0]
[[1, 0, 0], 1, 2, -0.0]
[[1, 0, 0], 2, 2, -0.442]
[[1, 0, 0], 3, 2, -0.0]
[[1, 0, 0], 4, 2, -0.0]
[[1, 0, 0], 0, 3, 0.21260923662907968]
[[1, 0, 0], 1, 3, -0.0]
[[1, 0, 0], 2, 3, -0.0]
[[1, 0, 0], 3, 3, -0.8102500000000001]
[[1, 0, 0], 4, 3, -0.0]
[[1, 0, 0], 0, 4, 0.0]
[[1, 0, 0], 1, 4, -0.0]
[[1, 0, 0], 2, 4, -0.0]
[[1, 0, 0], 3, 4, -0.0]
[[1, 0, 0], 4, 4, -0.478]
[[1, 0, 0], 5, 5, 0.696]
[[1, 0, 0], 6, 5, 0.0]
[[1, 0, 0], 7, 5, 0.0]
[[1, 0, 0], 5, 6, 0.0]
[[1, 0, 0], 6, 6, 0.278]
[[1, 0, 0], 7, 6, 0.0]
[[1, 0, 0], 5, 7, 0.0]
[[1, 0, 0], 6, 7, 0.0]
[[1, 0, 0], 7, 7, 0.278]
[[1, 0, 0], 8, 8, 0.696]
[[1, 0, 0], 9, 8, 0.0]
[[1, 0, 0], 10, 8, 0.0]
[[1, 0, 0], 8, 9, 0.0]
[[1, 0, 0], 9, 9, 0.278]
[[1, 0, 0], 10, 9, 0.0]
[[1, 0, 0], 8, 10, 0.0]
[[1, 0, 0], 9, 10, 0.0]
[[1, 0, 0], 10, 10, 0.278]
[[1, 0, 0], 11, 16, -0.4309125144129911]
[[1, 0, 0], 12, 16, -1.4047182866017167]
[[1, 0, 0], 13, 16, 0.2822309019701417]
[[1, 0, 0], 14, 16, 1.074733862835597]
[[1, 0, 0], 15, 16, -0.8079382508326131]
[[1, 0, 0], 11, 17, 0.24878750868407812]
[[1, 0, 0], 12, 17, 0.2822309019701418]
[[1, 0, 0], 13, 17, -1.0788262496665924]
[[1, 0, 0], 14, 17, 0.43305784035101585]
[[1, 0, 0], 15, 17, 1.0747339655821673]
[[1, 0, 0], 11, 18, -1.1537976076065988]
[[1, 0, 0], 12, 18, 1.4031054598372072]
[[1, 0, 0], 13, 18, -0.8100834858543222]
[[1, 0, 0], 14, 18, -0.16294601846756213]
[[1, 0, 0], 15, 18, 0.28223090197014183]
[[1, 0, 0], 11, 19, -0.4309125144129911]
[[1, 0, 0], 12, 19, 1.4047182866017167]
[[1, 0, 0], 13, 19, -0.2822309019701417]
[[1, 0, 0], 14, 19, 1.074733862835597]
[[1, 0, 0], 15, 19, -0.8079382508326131]
[[1, 0, 0], 11, 20, 0.24878750868407812]
[[1, 0, 0], 12, 20, -0.2822309019701418]
[[1, 0, 0], 13, 20, 1.0788262496665924]
[[1, 0, 0], 14, 20, 0.43305784035101585]
[[1, 0, 0], 15, 20, 1.0747339655821673]
[[1, 0, 0], 11, 21, 1.1537976076065988]
[[1, 0, 0], 12, 21, 1.4031054598372072]
[[1, 0, 0], 13, 21, -0.8100834858543222]
[[1, 0, 0], 14, 21, 0.16294601846756213]
[[1, 0, 0], 15, 21, -0.28223090197014183]
[[1, 0, 0], 11, 11, -0.5647500000000001]
[[1, 0, 0], 12, 11, 0.0]
[[1, 0, 0], 13, 11, 0.0]
[[1, 0, 0], 14, 11, 0.21260923662907968]
[[1, 0, 0], 15, 11, 0.0]
[[1, 0, 0], 11, 12, 0.0]
[[1, 0, 0], 12, 12, -0.478]
[[1, 0, 0], 13, 12, -0.0]
[[1, 0, 0], 14, 12, -0.0]
[[1, 0, 0], 15, 12, -0.0]
[[1, 0, 0], 11, 13, 0.0]
[[1, 0, 0], 12, 13, -0.0]
[[1, 0, 0], 13, 13, -0.442]
[[1, 0, 0], 14, 13, -0.0]
[[1, 0, 0], 15, 13, -0.0]
[[1, 0, 0], 11, 14, 0.21260923662907968]
[[1, 0, 0], 12, 14, -0.0]
[[1, 0, 0], 13, 14, -0.0]
[[1, 0, 0], 14, 14, -0.8102500000000001]
[[1, 0, 0], 15, 14, -0.0]
[[1, 0, 0], 11, 15, 0.0]
[[1, 0, 0], 12, 15, -0.0]
[[1, 0, 0], 13, 15, -0.0]
[[1, 0, 0], 14, 15, -0.0]
[[1, 0, 0], 15, 15, -0.478]
[[1, 0, 0], 16, 16, 0.696]
[[1, 0, 0], 17, 16, 0.0]
[[1, 0, 0], 18, 16, 0.0]
[[1, 0, 0], 16, 17, 0.0]
[[1, 0, 0], 17, 17, 0.278]
[[1, 0, 0], 18, 17, 0.0]
[[1, 0, 0], 16, 18, 0.0]
[[1, 0, 0], 17, 18, 0.0]
[[1, 0, 0], 18, 18, 0.278]
[[1, 0, 0], 19, 19, 0.696]
[[1, 0, 0], 20, 19, 0.0]
[[1, 0, 0], 21, 19, 0.0]
[[1, 0, 0], 19, 20, 0.0]
[[1, 0, 0], 20, 20, 0.278]
[[1, 0, 0], 21, 20, 0.0]
[[1, 0, 0], 19, 21, 0.0]
[[1, 0, 0], 20, 21, 0.0]
[[1, 0, 0], 21, 21, 0.278]
[[1, 1, 0], 0, 5, 4.127381401327502e-06]
[[1, 1, 0], 1, 5, -0.9158722206904526]
[[1, 1, 0], 2, 5, 5.406443579969632e-06]
[[1, 1, 0], 3, 5, -5.629471296856842e-06]
[[1, 1, 0], 4, 5, 1.053562563629713]
[[1, 1, 0], 0, 6, -0.497586658204325]
[[1, 1, 0], 1, 6, 5.406443579969634e-06]
[[1, 1, 0], 2, 6, -1.5676593786877664]
[[1, 1, 0], 3, 6, -1.4284503118946374]
[[1, 1, 0], 4, 6, -1.4958327052205801e-05]
[[1, 1, 0], 0, 7, -1.1537802803356496]
[[1, 1, 0], 1, 7, -1.3438964059748572e-05]
[[1, 1, 0], 2, 7, 1.6201675023460504]
[[1, 1, 0], 3, 7, 0.3258935789986569]
[[1, 1, 0], 4, 7, 5.406443579969633e-06]
[[1, 1, 0], 0, 8, 4.127381401327502e-06]
[[1, 1, 0], 1, 8, 0.9158722206904526]
[[1, 1, 0], 2, 8, -5.406443579969632e-06]
[[1, 1, 0], 3, 8, -5.629471296856842e-06]
[[1, 1, 0], 4, 8, 1.053562563629713]
[[1, 1, 0], 0, 9, -0.497586658204325]
[[1, 1, 0], 1, 9, -5.406443579969634e-06]
[[1, 1, 0], 2, 9, 1.5676593786877664]
[[1, 1, 0], 3, 9, -1.4284503118946374]
[[1, 1, 0], 4, 9, -1.4958327052205801e-05]
[[1, 1, 0], 0, 10, 1.1537802803356496]
[[1, 1, 0], 1, 10, -1.3438964059748572e-05]
[[1, 1, 0], 2, 10, 1.6201675023460504]
[[1, 1, 0], 3, 10, -0.3258935789986569]
[[1, 1, 0], 4, 10, -5.406443579969633e-06]
